ID: 2, Название игрушки: Кукла Таня, количество: 9, вес 35
ID: 2, Название игрушки: Кукла Таня, количество: 8, вес 35
ID: 3, Название игрушки: Мягкая игрушка Заяц, количество: 9, вес 50
ID: 2, Название игрушки: Кукла Таня, количество: 7, вес 35
ID: 3, Название игрушки: Мягкая игрушка Заяц, количество: 8, вес 50
ID: 5, Название игрушки: Машинка, количество: 9, вес 20
ID: 1, Название игрушки: Кукла Барби, количество: 9, вес 20
ID: 5, Название игрушки: Машинка, количество: 8, вес 20
ID: 6, Название игрушки: Мячик, количество: 9, вес 45
ID: 1, Название игрушки: Кукла Барби, количество: 8, вес 20
ID: 3, Название игрушки: Мягкая игрушка Заяц, количество: 7, вес 50
ID: 5, Название игрушки: Машинка, количество: 7, вес 20
ID: 3, Название игрушки: Мягкая игрушка Заяц, количество: 6, вес 50
ID: 6, Название игрушки: Мячик, количество: 8, вес 45
ID: 2, Название игрушки: Кукла Таня, количество: 6, вес 35
ID: 1, Название игрушки: Кукла Барби, количество: 7, вес 20
ID: 3, Название игрушки: Мягкая игрушка Заяц, количество: 5, вес 50
ID: 1, Название игрушки: Кукла Барби, количество: 6, вес 20
ID: 2, Название игрушки: Кукла Таня, количество: 5, вес 35
ID: 5, Название игрушки: Машинка, количество: 6, вес 20
